
time,gFx,gFy,gFz,wx,wy,wz,
15.346939,0.7197,-1.1192,-0.0371,1.6019,-3.7951,-0.1878,
15.446802,0.4190,-1.0957,0.0879,1.3029,-3.2548,-0.1834,
15.547289,0.4346,-1.1426,0.0645,1.2717,-2.4703,-0.2682,
15.647462,0.3916,-1.1016,-0.1602,1.4959,-1.9028,-0.0032,
15.746855,0.4815,-1.0645,0.1895,1.1936,-2.5203,0.1038,
15.847719,0.4385,-1.0391,0.0840,1.2873,-2.2577,0.1178,
15.947591,0.6338,-1.1719,0.1133,0.8105,-2.0093,0.1925,
16.048503,0.3897,-1.3067,-0.5137,0.9147,-1.5190,0.3250,
16.148290,0.7373,-1.1856,0.0078,0.2190,-1.7282,0.2981,
16.249119,0.3955,-1.1250,-0.0371,0.2467,-1.9050,-0.1443,
16.349730,0.3779,-1.0703,-0.0508,-0.5336,-1.8178,-0.4650,
16.450004,0.0889,-0.8750,-0.2578,-0.5510,-2.3423,-0.6809,
16.549618,0.9639,-0.9395,-1.0410,-0.6088,-3.6580,-0.4437,
16.650768,0.5537,-1.1504,-0.2031,-0.9590,-2.6955,-0.4457,
16.751180,0.4502,-1.2403,0.2031,-0.2242,-2.0184,-0.2749,
16.851510,0.2900,-1.0781,0.0098,-0.0982,-0.8252,-0.3665,
16.951642,0.5869,-0.9824,-0.0625,0.4828,-0.0521,-0.1813,
17.052476,0.4736,-1.0762,0.1309,1.1605,-0.4052,0.0286,
17.152531,0.4971,-1.2617,-0.1074,1.7960,-0.1672,0.1985,
17.252720,0.5752,-1.2539,-0.1699,1.6918,0.0864,0.2611,
17.352393,0.7178,-1.3692,0.2969,0.8283,0.2569,0.2532,
17.453489,0.3877,-1.4532,-0.0234,-0.2418,0.1337,0.0671,
17.553647,0.3760,-0.8965,0.0078,-1.6200,-1.0377,-0.1964,
17.653247,0.1904,-0.7871,0.1426,-1.7172,-2.2095,-0.2746,
17.754122,0.6338,-0.8867,-0.7266,-0.7739,-4.5277,-0.1411,
17.854387,0.8369,-1.1778,-0.6621,-0.7621,-1.6973,-0.3182,
17.954631,0.0479,-1.1524,0.1973,-0.0253,-0.6329,-0.2062,
18.054931,0.4463,-1.0957,0.0508,0.0413,-0.7712,0.0322,
18.154769,0.5947,-0.9805,-0.0859,0.2190,0.3284,-0.0371,
18.255717,0.5147,-1.0235,0.1973,1.2287,0.4280,0.0816,
18.356333,0.4580,-1.1914,-0.1133,1.3131,2.1036,-0.1030,
18.456320,0.6924,-1.2793,-0.0156,1.4489,2.9757,-0.0911,
18.557520,0.5752,-1.4453,0.1152,1.0466,1.1011,0.1768,
18.658497,0.3057,-1.4942,-0.0234,0.2596,0.1705,0.2366,
18.757926,0.2588,-1.0000,0.0645,-0.7736,-1.5404,0.2146,
18.858673,0.0439,-0.7500,0.2148,-0.9001,-4.2802,0.2659,
18.959161,0.5498,-0.9551,-1.0645,-0.4796,-6.2067,0.2051,
19.058738,0.7412,-1.3535,-0.7461,-2.6353,-2.0437,-0.0555,
19.159548,0.1826,-1.0996,0.3399,-0.7135,-0.8121,0.0333,
19.259801,0.3623,-1.1328,-0.0039,-1.0309,0.7285,0.1033,
19.360437,0.4443,-0.9453,-0.0801,-0.1249,0.1263,0.0189,
19.460076,0.4854,-1.0723,0.0918,1.3427,-0.7372,0.0225,
19.561267,0.4912,-1.2168,-0.1289,0.5111,0.0049,-0.2472,
19.661135,0.4717,-1.2793,-0.3535,1.3033,0.1177,-0.0839,
19.761235,0.8740,-1.4649,0.4766,0.7865,0.2933,0.0763,
19.861503,0.3662,-1.4629,0.0039,0.2561,0.2182,0.1085,
19.962157,0.2393,-0.8672,0.1699,-0.8147,-1.0396,0.0702,
20.062785,0.0400,-0.7656,0.1543,0.0735,-4.6560,0.2230,
20.162321,0.8486,-0.9649,-1.3438,0.0627,-5.7647,0.2150,
20.262793,0.6494,-1.1153,-0.1660,-2.3559,-1.8514,-0.2328,
20.363148,0.0205,-1.3653,0.4590,-0.9178,-0.0076,0.0670,
20.462801,0.2490,-1.1641,-0.0527,-1.9904,1.6666,0.0813,
20.563932,0.4229,-0.9024,-0.1289,0.0029,0.7616,0.2306,
20.664353,0.5498,-1.0586,0.0762,1.1546,-0.0242,0.1858,
20.764506,0.5440,-1.2383,-0.0996,0.3926,0.0049,-0.2800,
20.863800,0.4990,-1.3086,-0.4063,0.6238,0.1354,-0.1625,
20.965247,0.6651,-1.5274,0.5879,0.2616,0.3262,-0.0583,
21.064883,0.3916,-1.3692,0.0117,-0.1761,0.5892,0.0582,
21.165562,0.2022,-0.8516,0.1582,-1.3926,-0.6041,-0.0173,
21.266422,0.0322,-0.7676,0.0840,0.0429,-5.0227,0.1582,
21.366719,0.7764,-1.0117,-1.3965,-0.1307,-5.8233,0.1671,
21.467137,0.6651,-1.1289,-0.3203,-1.2807,-1.9456,-0.1249,
21.566431,0.2940,-1.2442,0.3770,-0.1302,-1.0782,0.1424,
21.667044,0.2490,-1.1250,-0.0020,-1.2813,1.3760,0.0611,
21.767664,0.4736,-0.9512,-0.0781,0.6865,1.0950,0.0932,
21.867408,0.5186,-1.0410,0.0078,1.6232,1.4813,-0.0012,
21.968209,0.7295,-1.2168,-0.0098,0.7748,4.5888,-0.3131,
22.068715,0.5498,-1.3770,-0.3457,1.1115,2.9305,-0.0888,
22.168821,0.6084,-1.4395,0.5840,0.4003,1.1435,0.1775,
22.269994,0.4307,-1.3574,0.0039,-0.1122,-0.3766,0.1307,
22.370379,0.1982,-0.8086,0.1152,-1.0161,-2.7167,0.1345,
22.470440,0.0811,-0.7715,-0.0313,0.3716,-7.6510,0.1415,
22.570163,0.9287,-1.1016,-1.4766,-0.2008,-6.6622,0.0421,
22.671014,0.6885,-1.2403,-0.0195,-1.7338,-1.0353,-0.1729,
22.770903,0.4346,-1.2735,0.1856,-0.4457,-0.4120,0.0803,
22.871129,0.3467,-1.0547,-0.0488,-1.2086,1.6240,0.1363,
22.971225,0.4365,-0.9453,-0.0254,0.5288,1.0253,0.1406,
23.071763,0.5166,-1.0664,0.0410,0.9107,1.4009,0.0688,
23.172476,0.5928,-1.2969,0.1445,-0.0747,5.3299,-0.3256,
23.272350,0.5147,-1.4024,-0.3320,0.7343,2.9419,-0.0478,
23.372555,0.5889,-1.4219,0.4473,0.6009,1.2172,0.1157,
23.473330,0.3721,-1.2949,-0.0156,-0.3686,-0.1809,0.0919,
23.573666,0.1631,-0.8047,0.1660,-1.0713,-2.5219,0.0663,
23.674029,0.0869,-0.7695,-0.0859,0.5442,-8.4079,0.0260,
23.774087,1.0147,-1.1817,-1.4610,-0.1901,-5.1057,-0.1253,
23.874246,0.6065,-1.0625,-0.0781,-0.8836,0.0711,-0.3182,
23.973948,0.4483,-1.2871,0.3086,-0.2941,0.5447,-0.1085,
24.075106,0.2451,-1.1094,-0.0137,-0.6093,2.0102,0.0214,
24.175405,0.4678,-0.9590,-0.0684,1.2721,0.4470,-0.0065,
24.274708,0.4600,-1.1016,0.0215,1.1415,1.0303,-0.1893,
24.375617,0.6065,-1.2520,0.0684,0.0261,4.6124,-0.3309,
24.476109,0.5498,-1.3731,-0.3125,0.2326,3.4814,-0.1667,
24.576100,0.6865,-1.4766,0.5742,0.2307,1.4859,0.1082,
24.675692,0.3311,-1.3203,0.0273,-0.1374,-0.3532,0.1339,
24.777015,0.2178,-0.8516,0.1387,-0.8930,-2.8634,0.1400,
24.877021,-0.0557,-0.7637,-0.0156,0.1001,-8.3126,0.2505,
24.977485,1.0069,-1.1758,-1.5157,-0.8014,-5.9029,0.1303,
25.077076,0.5498,-1.0528,-0.0723,-2.3848,-0.8174,-0.0197,
25.178111,0.3662,-1.2676,0.2051,-1.1748,-0.1558,0.1134,
25.278358,0.2549,-1.1485,-0.0234,-1.4750,1.2085,0.1132,
25.378327,0.4209,-0.9863,-0.1406,0.9045,0.0377,0.0884,
25.478029,0.5361,-1.0449,0.0547,1.5493,1.0040,-0.1692,
25.578873,0.5693,-1.2539,0.0215,0.4422,4.5859,-0.4291,
25.679230,0.4404,-1.3496,-0.2559,0.9325,3.4064,-0.1576,
25.779075,0.6592,-1.3633,0.3828,0.4199,1.7840,0.0668,
25.879761,0.4365,-1.4102,0.0020,0.1046,0.2456,0.1504,
25.980107,0.3408,-0.9551,0.0313,-0.7498,-1.5015,0.1583,
26.080263,0.0771,-0.7852,0.1484,-0.1318,-4.8215,0.2095,
